,black,blue,brown,green,grey,orange,pink,purple,red,turquoise,white,yellow
cluster_0,0.3990695597094376,0.0,0.4002540707336086,0.002269190334126557,0.020617255384707777,0.1668981254169156,0.0050831424065271155,0.0038539195957202543,0.00195473641895634,0.0,0.0,0.0
cluster_1,0.48341033481935136,0.0,0.02100093871526281,0.0008884257909915004,0.4864603295905976,0.001027007828130345,0.005108553667505793,0.0,0.0,0.0,0.0008295151783168448,0.0012748944098438038
cluster_2,0.07833402050560417,0.0,0.05851587637227604,0.0,0.0506765046070694,0.06412183619660895,0.032690728868483655,0.20018898934876436,0.3252065808820129,0.0,0.1902654632191805,0.0
cluster_3,0.1759071763945796,0.0,0.17412727537188277,0.024937054317020542,0.21461515761679298,0.0,0.05171491331282664,0.0,0.0,0.0,0.18667476080190468,0.17202366218499296
cluster_4,0.15983968575847893,0.0,0.0546848012190554,0.0004961876139349186,0.39511801704534927,0.0,0.009100952574882012,0.0,0.0,0.0005993715679731315,0.37782632127646615,0.0023346629438602824
cluster_5,0.19707152390606233,0.00023912524301286078,0.13277832099975637,0.0,0.22110216340154332,0.022073981111899524,0.0022415295924404495,0.00913881397231591,0.1718375216938193,0.001120967076357146,0.24239605300279282,0.0
cluster_6,0.037537910842540254,0.4290214157771171,0.07700026069378252,0.0013882711467898222,0.0429157610078036,0.011832349428500661,0.00384178518809751,0.3701995918712662,0.025563693614801188,0.000698960429301085,0.0,0.0
cluster_7,0.014942504142706623,0.0,0.04833404358931498,0.019548482514939403,0.08807971597532284,0.0,0.05079448118021924,0.6958872210003764,0.0,0.0016172108276745756,0.0,0.08079634076944593
cluster_8,0.195792464017487,0.00013253482470189064,0.16231342211152128,0.0,0.6135142346212364,0.0,0.028066163350344273,0.0,0.0,0.00018118107470913432,0.0,0.0
cluster_9,0.17756482201706575,0.0,0.10613767566262633,0.1766674507494113,0.19875943138001034,0.04053854234398867,0.058585622095268186,0.0,0.0,0.0,0.22212176468021033,0.019624691071419165
cluster_10,0.0034441295425603007,7.088817001861887e-05,0.0951432096598183,0.0014587809632072622,0.7245449533429703,0.004143906411565872,0.008925706173268105,0.0014172319684825523,0.0,0.0,0.16085119376810864,0.0
cluster_11,0.3593021520251418,0.0,0.36416340178314965,0.0,0.0,0.0,0.0021972935273467495,0.0,0.0,0.0,0.27385085478377935,0.0004862978805825441
cluster_12,0.6490905894811133,7.25808501875413e-05,0.0763140426271512,0.00019263023817591197,0.25757722552249673,0.002625229557411321,0.01180262581113396,0.0015371540990454142,0.0,0.0007879218132846404,0.0,0.0
cluster_13,0.4324165924060266,0.00011395628769097188,0.21311098755859761,0.0,0.3168588455313981,0.0,0.01695776491965225,0.0,0.0,0.0013037207289693666,0.018871693659554965,0.00036643890811015014
cluster_14,0.061455931230179804,0.0001294795890884847,0.04143769849507877,0.0,0.18888476632394915,0.0434753078740113,0.4906174994999874,0.026583259686893634,0.003383588084820248,0.0,0.14403246921599114,0.0
cluster_15,0.07008349915314786,0.0,0.1807526098114837,0.009006081492229982,0.0905158590222271,0.536619978400343,0.016197875099184543,0.0,0.0,0.0006458453184045257,0.08418571168149148,0.011992540021487478
cluster_16,0.06766884401566636,0.001730642220170237,0.0856167331251199,0.4846926841130198,0.13589485117551445,0.03786147838630163,0.0,0.046518348178514385,0.03620169011593845,0.009665449420810037,0.09414927924894477,0.0
cluster_17,0.13424345298032647,0.0,0.0552185718589523,0.04858780245263066,0.10587776972544909,0.024222777888640364,0.07881548761336078,0.42054967352429184,0.0,0.0,0.125721603510986,0.0067628604453625315
cluster_18,0.06529720113859497,4.46066186568303e-05,0.03128403685170526,0.0010151935631891175,0.2686365759794563,0.0009238631109143731,0.006546977371034453,0.0,0.0,4.409014459073221e-05,0.6248986698245357,0.0013087853973223589
cluster_19,0.15628433564304783,0.0011291255101106405,0.10569329987760014,0.0,0.24213083439814612,0.030133982738245246,0.011916483526712648,0.13043047789281614,0.03086597544460818,0.0001536169975912222,0.29126186797112175,0.0
cluster_20,0.0,0.0,0.09789791136112963,0.04837985614774478,0.031707480363462846,0.0,0.04215931691241584,0.0,0.7186947582845575,0.0,0.0,0.06116067693068939
cluster_21,0.24883777289702327,0.0,0.0,0.0,0.5902517639671783,0.0,0.0,0.0,0.0031018795267280267,0.0,0.15641159829718362,0.001396985311886727
cluster_22,0.040538952347453264,0.0,0.15890921783991918,0.0029105305877307136,0.25921657180589275,0.17204274128673364,0.014211366106705906,0.002492920799342921,0.0,0.0,0.34967769922622144,0.0
cluster_23,0.10249640260201034,0.0,0.13058086697668445,0.00870657118426726,0.047549929388448944,0.1630166645816192,0.09512462637954931,0.0,0.3273909522587207,0.0,0.11775247470803141,0.007381511920668415
cluster_24,0.2522033525680769,0.0,0.010617913695848438,0.0,0.7355651844500988,0.000870834314431003,0.0,0.0,0.0004928918593628387,0.0,0.0,0.00024982311218185407
cluster_25,0.2941415835046268,0.0,0.11092282579024304,0.0014181409040043245,0.3563780802192796,0.17185163163253264,0.017026106252915243,0.0050626245796725035,0.0,0.0010511690801455354,0.04214783803658037,0.0
cluster_26,0.0,0.00010364163910730964,0.5035380581147126,0.0,0.3675082159826744,0.0008390281538269378,0.0,0.0017672976020853635,0.004266171089404968,5.644391137747613e-05,0.12177662413605282,0.0001445193707580904
cluster_27,0.24427728209972305,0.0,0.11917113814554614,0.24288420745174874,0.18232290060764572,0.0,0.034160399978669306,0.0,0.0,0.0,0.041224649331790215,0.13595942238487693
cluster_28,0.08106787830315906,6.478285351528709e-06,0.031206587573135536,0.04715875957017676,0.339166093462056,0.01219937889282602,0.006846657058199936,0.0,0.0,0.34951119233885386,0.12482790583448128,0.008009068681759884
cluster_29,0.07224052058207268,0.00017966182439329092,0.0690647543377387,0.24108226964207047,0.19843064461371804,0.03210106048265863,0.010657059656902473,0.027487452056583844,0.2010238242452306,0.0031293834600091266,0.12348479011169161,0.021118578986930477
cluster_30,0.4943900747440306,5.99788883770835e-05,0.40434496599355624,0.0,0.09497989714849119,0.0,0.0030946293307094305,0.0009120362255281927,0.0021520279134848697,6.638975582237091e-05,0.0,0.0
cluster_31,0.05929554335712993,0.0002463044420087979,0.1074971173202954,0.0,0.3619574498090258,0.0,0.24898807423464053,0.002916409024174896,0.012792504756733058,0.0008202059389154537,0.20548639111707614,0.0
