,b_bgr_mean,g_bgr_mean,r_bgr_mean,h_hsv_mean,s_hsv_mean,v_hsv_mean,l_lab_mean,a_lab_mean,b_lab_mean,b_bgr_std,g_bgr_std,r_bgr_std,h_hsv_std,s_hsv_std,v_hsv_std,l_lab_std,a_lab_std,b_lab_std
cluster_0,99.35038446988035,133.11388066844654,149.2438061039339,23.837084514886033,103.41096984364694,152.98004081901914,141.4530293248483,130.1125339573198,148.54332013159836,55.16647443601161,58.19874563728837,60.19945371427545,20.044750317705372,49.89217897891539,58.30626060242154,58.06344166616564,7.062100250909186,12.237843174124633
cluster_1,37.49687463141984,49.2744194052536,60.678778971702286,38.139779046711155,104.81388961389804,63.2006395249198,54.85161027084887,131.22192972328722,137.14297318623258,29.347923231313903,34.532273215820126,41.279249385091646,35.34148690598409,47.44728414606734,41.656920253377734,38.7624209613889,6.024708224100484,8.826820751705014
cluster_2,120.39479626806224,139.30272606780892,120.06177433966735,69.6154993498965,113.36185170780423,155.97374723273606,143.17556861513168,121.3190802722791,135.7360410554535,48.89769558906894,44.5889368894595,54.046199642925394,34.84103568695766,61.898125334975575,44.22876569505678,43.16637028667506,12.906567049759143,20.360178613599125
cluster_3,167.32144001709912,182.5330901144219,181.14346442008355,55.67442676882187,43.27894256505596,195.86965360720103,189.48660800015452,125.74371224836534,135.80570203791083,34.36200236796117,28.734605791662666,28.181323281114544,25.959737869643433,22.87720302025941,24.48395560562146,26.074343492491337,4.509724403263288,8.323375371706337
cluster_4,43.43462355331503,54.12066921474265,71.5812986639913,48.56492511960024,122.3300569524308,78.83263279772731,62.84692587112032,134.76143755844268,137.72930327978858,44.035925105819565,49.927230131921,58.82399962561708,47.11543936749814,60.51560130899098,56.87003255432171,53.07520211098156,10.071236800503153,14.462743864548996
cluster_5,141.82546644210663,147.1100256172293,151.0452441070334,52.24691379003217,55.606591780113085,159.33599586229593,152.61390077001099,129.13984141990213,131.6688398951249,82.83909939822128,84.16289255805455,80.301038658883,38.068979196494986,56.67385660880328,80.14940648120398,83.17244504523428,6.426960331800728,10.035370004014899
cluster_6,51.82676446729985,77.0316680734751,94.54936626329739,23.62341646875673,123.85480431111955,97.46528187978393,84.72980261049956,132.1764509602025,144.9701494077557,42.078198707764486,49.07955308003521,54.185694053131556,18.46063222096246,49.239523544969906,54.406943265856015,51.99142578047016,6.484784181970227,9.777879663691927
cluster_7,72.24926629820395,77.26808933954464,83.17050996289288,48.45567671685569,71.9799958426219,85.16796893728217,81.17024891246541,129.4215981739781,132.19841223984687,44.910686337011356,50.83317800186592,56.30135955106189,42.68056742079789,44.36383191212275,57.00914467336145,54.859712195697355,4.796029336897655,7.810202162338628
cluster_8,167.58943955681644,178.521754692436,181.0848751916958,54.48646493508416,36.48665682315588,190.54297611239429,185.1605400851115,127.39869292657087,134.1009430557754,56.879521193868925,54.38297455779862,51.579685319585515,32.83670951927228,33.481960208639066,49.694345321677794,52.12245039693946,4.776052173349026,8.188114695360436
cluster_9,82.92021625779462,81.66214912208576,124.65141499023841,80.29567618367824,137.35127554291276,141.6133389191527,103.82559859162303,148.02858963984488,136.92226366355433,41.33066292416245,46.1449062924182,55.37127026809171,65.32309245276306,54.884391824304096,49.29696141417107,43.84822343714281,18.825370973591397,18.642167638973753
cluster_10,132.10517636224589,101.4616931310814,81.61032416145511,103.88281069949244,114.86495594229157,133.1637209346349,108.35216808138283,130.72644493712065,110.84698865859525,38.46292403047661,33.965681621450216,39.244221348977426,22.706107802613026,43.18275125109682,35.21344679316743,34.29549091442978,7.433819576870111,12.377654599035806
cluster_11,93.08942458513563,117.46724089279179,138.99240263292043,60.55203328110232,148.40194878956873,161.0196666003724,132.3821746552161,136.2496915417228,145.85240250356287,62.92482771929831,65.37149464383026,75.0472956315181,50.78641209208651,74.19240029539515,65.99425764381503,62.68642248124954,18.800494497428083,24.000762756658077
cluster_12,55.40338412378771,92.47703713590239,142.35136590631214,26.185474057131696,157.81831840346376,142.9523298908099,112.20957799021832,143.78964486229665,157.03421887237678,38.62167205906296,46.782690097226265,54.93849918523946,32.50631431078929,51.37565143765881,51.14686983980634,45.99096532995607,14.289670125873553,16.481554011751836
cluster_13,130.83360464362235,148.74648509367563,216.63257805646708,32.20699508530796,123.05295140454646,217.6851953224005,177.77891958613498,153.34574967124323,151.17252828905762,72.13912809942995,58.868584824509256,36.5001680542015,45.1528050202791,83.58644617942488,34.386977581709125,44.64440269028413,20.416523977612883,16.380590615582705
cluster_14,112.12412919178908,124.08637416405439,114.36524451067665,56.97665917797181,70.99582540198026,131.28623862954592,127.14490605769053,123.37536798921602,133.37565954459274,37.872865137050695,37.906331245027964,43.19038790565912,31.717711442887875,39.042611031979185,39.54846393971738,38.729823404486,6.851967357834024,9.766533688996002
cluster_15,33.82189341728651,48.379070564955875,56.66846124691794,28.376903268055703,108.37763581122783,59.713228620378075,52.952029642702726,129.61446172658165,138.192171083843,18.966899937967227,23.79892793988999,28.714831470422478,17.941321284997656,38.48096304291528,30.532361688876115,28.28004257233546,3.705528189098561,5.129497967918057
cluster_16,73.67733348043687,92.93780197640736,106.22557188256413,32.564820504716835,106.61800860543109,110.27363122566985,99.47593195785362,131.27050613022445,140.89389434825821,62.40160414532298,67.5082132115821,70.0125580604403,30.32747370438873,60.74350471445713,69.83764455696797,69.35532162475985,7.266647026120208,11.931483073853702
cluster_17,136.53613974326475,128.76884742383362,117.46010192518115,80.50346467634418,82.7383728877569,147.7067158703281,133.94965184221957,127.76294246891736,123.05237637406493,59.90262935740874,57.603571778734526,61.0653653328834,38.54189315732755,53.21414620464507,56.99062617984465,57.324036220443205,8.13793059649343,13.933316857294354
cluster_18,71.23589439925563,114.85974258845881,186.19670068886455,7.481869239809583,159.22745967411134,178.48370553354275,140.9209090123695,150.94372895139958,163.75556547876718,25.218985095159937,30.14981363326848,31.534791927502656,14.76797440593715,34.866331346296754,30.458236912047273,27.0939826472524,10.896787836396259,12.831774060651266
