,bgr_mean,hsv_mean,lab_mean,dominant_color_desc
cluster_0,"[99.35038446988035, 133.11388066844654, 149.2438061039339]","[23.837084514886033, 103.41096984364694, 152.98004081901914]","[141.4530293248483, 130.1125339573198, 148.54332013159836]","B:99.35, G:133.11, R:149.24"
cluster_1,"[37.49687463141984, 49.2744194052536, 60.678778971702286]","[38.139779046711155, 104.81388961389804, 63.2006395249198]","[54.85161027084887, 131.22192972328722, 137.14297318623258]","B:37.50, G:49.27, R:60.68"
cluster_2,"[120.39479626806224, 139.30272606780892, 120.06177433966735]","[69.6154993498965, 113.36185170780423, 155.97374723273606]","[143.17556861513168, 121.3190802722791, 135.7360410554535]","B:120.39, G:139.30, R:120.06"
cluster_3,"[167.32144001709912, 182.5330901144219, 181.14346442008355]","[55.67442676882187, 43.27894256505596, 195.86965360720103]","[189.48660800015452, 125.74371224836534, 135.80570203791083]","B:167.32, G:182.53, R:181.14"
cluster_4,"[43.43462355331503, 54.12066921474265, 71.5812986639913]","[48.56492511960024, 122.3300569524308, 78.83263279772731]","[62.84692587112032, 134.76143755844268, 137.72930327978858]","B:43.43, G:54.12, R:71.58"
cluster_5,"[141.82546644210663, 147.1100256172293, 151.0452441070334]","[52.24691379003217, 55.606591780113085, 159.33599586229593]","[152.61390077001099, 129.13984141990213, 131.6688398951249]","B:141.83, G:147.11, R:151.05"
cluster_6,"[51.82676446729985, 77.0316680734751, 94.54936626329739]","[23.62341646875673, 123.85480431111955, 97.46528187978393]","[84.72980261049956, 132.1764509602025, 144.9701494077557]","B:51.83, G:77.03, R:94.55"
cluster_7,"[72.24926629820395, 77.26808933954464, 83.17050996289288]","[48.45567671685569, 71.9799958426219, 85.16796893728217]","[81.17024891246541, 129.4215981739781, 132.19841223984687]","B:72.25, G:77.27, R:83.17"
cluster_8,"[167.58943955681644, 178.521754692436, 181.0848751916958]","[54.48646493508416, 36.48665682315588, 190.54297611239429]","[185.1605400851115, 127.39869292657087, 134.1009430557754]","B:167.59, G:178.52, R:181.08"
cluster_9,"[82.92021625779462, 81.66214912208576, 124.65141499023841]","[80.29567618367824, 137.35127554291276, 141.6133389191527]","[103.82559859162303, 148.02858963984488, 136.92226366355433]","B:82.92, G:81.66, R:124.65"
cluster_10,"[132.10517636224589, 101.4616931310814, 81.61032416145511]","[103.88281069949244, 114.86495594229157, 133.1637209346349]","[108.35216808138283, 130.72644493712065, 110.84698865859525]","B:132.11, G:101.46, R:81.61"
cluster_11,"[93.08942458513563, 117.46724089279179, 138.99240263292043]","[60.55203328110232, 148.40194878956873, 161.0196666003724]","[132.3821746552161, 136.2496915417228, 145.85240250356287]","B:93.09, G:117.47, R:138.99"
cluster_12,"[55.40338412378771, 92.47703713590239, 142.35136590631214]","[26.185474057131696, 157.81831840346376, 142.9523298908099]","[112.20957799021832, 143.78964486229665, 157.03421887237678]","B:55.40, G:92.48, R:142.35"
cluster_13,"[130.83360464362235, 148.74648509367563, 216.63257805646708]","[32.20699508530796, 123.05295140454646, 217.6851953224005]","[177.77891958613498, 153.34574967124323, 151.17252828905762]","B:130.83, G:148.75, R:216.63"
cluster_14,"[112.12412919178908, 124.08637416405439, 114.36524451067665]","[56.97665917797181, 70.99582540198026, 131.28623862954592]","[127.14490605769053, 123.37536798921602, 133.37565954459274]","B:112.12, G:124.09, R:114.37"
cluster_15,"[33.82189341728651, 48.379070564955875, 56.66846124691794]","[28.376903268055703, 108.37763581122783, 59.713228620378075]","[52.952029642702726, 129.61446172658165, 138.192171083843]","B:33.82, G:48.38, R:56.67"
cluster_16,"[73.67733348043687, 92.93780197640736, 106.22557188256413]","[32.564820504716835, 106.61800860543109, 110.27363122566985]","[99.47593195785362, 131.27050613022445, 140.89389434825821]","B:73.68, G:92.94, R:106.23"
cluster_17,"[136.53613974326475, 128.76884742383362, 117.46010192518115]","[80.50346467634418, 82.7383728877569, 147.7067158703281]","[133.94965184221957, 127.76294246891736, 123.05237637406493]","B:136.54, G:128.77, R:117.46"
cluster_18,"[71.23589439925563, 114.85974258845881, 186.19670068886455]","[7.481869239809583, 159.22745967411134, 178.48370553354275]","[140.9209090123695, 150.94372895139958, 163.75556547876718]","B:71.24, G:114.86, R:186.20"
cluster_19,"[55.078662148741145, 80.23242119384189, 96.7316192216383]","[22.06126235852814, 114.85281078530741, 98.7222793200122]","[87.78135621675014, 131.4207962937743, 144.80263086383889]","B:55.08, G:80.23, R:96.73"
cluster_20,"[102.95408965306093, 140.31803367019228, 155.080187784028]","[22.12796866486348, 100.09506612690679, 159.8691092070674]","[149.0595417213093, 128.9200371773092, 150.3147329976766]","B:102.95, G:140.32, R:155.08"
