combination_id,cluster_1,cluster_2,cluster_3,cluster_4,size_1,size_2,size_3,size_4,total_size,color_desc_1,color_desc_2,color_desc_3,color_desc_4
1,cluster_9,cluster_14,cluster_18,cluster_19,497,1130,282,1197,3106,"B:82.92, G:81.66, R:124.65","B:112.12, G:124.09, R:114.37","B:71.24, G:114.86, R:186.20","B:55.08, G:80.23, R:96.73"
2,cluster_10,cluster_11,cluster_14,cluster_17,522,548,1130,906,3106,"B:132.11, G:101.46, R:81.61","B:93.09, G:117.47, R:138.99","B:112.12, G:124.09, R:114.37","B:136.54, G:128.77, R:117.46"
3,cluster_4,cluster_6,cluster_8,cluster_13,746,1387,740,233,3106,"B:43.43, G:54.12, R:71.58","B:51.83, G:77.03, R:94.55","B:167.59, G:178.52, R:181.08","B:130.83, G:148.75, R:216.63"
4,cluster_7,cluster_10,cluster_17,cluster_20,816,522,906,862,3106,"B:72.25, G:77.27, R:83.17","B:132.11, G:101.46, R:81.61","B:136.54, G:128.77, R:117.46","B:102.95, G:140.32, R:155.08"
5,cluster_3,cluster_7,cluster_18,cluster_19,810,816,282,1197,3105,"B:167.32, G:182.53, R:181.14","B:72.25, G:77.27, R:83.17","B:71.24, G:114.86, R:186.20","B:55.08, G:80.23, R:96.73"
6,cluster_0,cluster_1,cluster_8,cluster_13,782,1352,740,233,3107,"B:99.35, G:133.11, R:149.24","B:37.50, G:49.27, R:60.68","B:167.59, G:178.52, R:181.08","B:130.83, G:148.75, R:216.63"
7,cluster_4,cluster_6,cluster_8,cluster_13,746,1387,740,233,3106,"B:43.43, G:54.12, R:71.58","B:51.83, G:77.03, R:94.55","B:167.59, G:178.52, R:181.08","B:130.83, G:148.75, R:216.63"
8,cluster_7,cluster_10,cluster_17,cluster_20,816,522,906,862,3106,"B:72.25, G:77.27, R:83.17","B:132.11, G:101.46, R:81.61","B:136.54, G:128.77, R:117.46","B:102.95, G:140.32, R:155.08"
9,cluster_7,cluster_10,cluster_17,cluster_20,816,522,906,862,3106,"B:72.25, G:77.27, R:83.17","B:132.11, G:101.46, R:81.61","B:136.54, G:128.77, R:117.46","B:102.95, G:140.32, R:155.08"
10,cluster_10,cluster_11,cluster_14,cluster_17,522,548,1130,906,3106,"B:132.11, G:101.46, R:81.61","B:93.09, G:117.47, R:138.99","B:112.12, G:124.09, R:114.37","B:136.54, G:128.77, R:117.46"
11,cluster_7,cluster_10,cluster_17,cluster_20,816,522,906,862,3106,"B:72.25, G:77.27, R:83.17","B:132.11, G:101.46, R:81.61","B:136.54, G:128.77, R:117.46","B:102.95, G:140.32, R:155.08"
12,cluster_7,cluster_10,cluster_17,cluster_20,816,522,906,862,3106,"B:72.25, G:77.27, R:83.17","B:132.11, G:101.46, R:81.61","B:136.54, G:128.77, R:117.46","B:102.95, G:140.32, R:155.08"
13,cluster_4,cluster_6,cluster_8,cluster_13,746,1387,740,233,3106,"B:43.43, G:54.12, R:71.58","B:51.83, G:77.03, R:94.55","B:167.59, G:178.52, R:181.08","B:130.83, G:148.75, R:216.63"
14,cluster_10,cluster_11,cluster_14,cluster_17,522,548,1130,906,3106,"B:132.11, G:101.46, R:81.61","B:93.09, G:117.47, R:138.99","B:112.12, G:124.09, R:114.37","B:136.54, G:128.77, R:117.46"
15,cluster_7,cluster_8,cluster_12,cluster_17,816,740,643,906,3105,"B:72.25, G:77.27, R:83.17","B:167.59, G:178.52, R:181.08","B:55.40, G:92.48, R:142.35","B:136.54, G:128.77, R:117.46"
16,cluster_7,cluster_10,cluster_17,cluster_20,816,522,906,862,3106,"B:72.25, G:77.27, R:83.17","B:132.11, G:101.46, R:81.61","B:136.54, G:128.77, R:117.46","B:102.95, G:140.32, R:155.08"
17,cluster_0,cluster_5,cluster_14,cluster_16,782,445,1130,750,3107,"B:99.35, G:133.11, R:149.24","B:141.83, G:147.11, R:151.05","B:112.12, G:124.09, R:114.37","B:73.68, G:92.94, R:106.23"
18,cluster_7,cluster_8,cluster_12,cluster_17,816,740,643,906,3105,"B:72.25, G:77.27, R:83.17","B:167.59, G:178.52, R:181.08","B:55.40, G:92.48, R:142.35","B:136.54, G:128.77, R:117.46"
19,cluster_10,cluster_11,cluster_14,cluster_17,522,548,1130,906,3106,"B:132.11, G:101.46, R:81.61","B:93.09, G:117.47, R:138.99","B:112.12, G:124.09, R:114.37","B:136.54, G:128.77, R:117.46"
20,cluster_10,cluster_11,cluster_14,cluster_17,522,548,1130,906,3106,"B:132.11, G:101.46, R:81.61","B:93.09, G:117.47, R:138.99","B:112.12, G:124.09, R:114.37","B:136.54, G:128.77, R:117.46"
21,cluster_2,cluster_5,cluster_6,cluster_10,753,445,1387,522,3107,"B:120.39, G:139.30, R:120.06","B:141.83, G:147.11, R:151.05","B:51.83, G:77.03, R:94.55","B:132.11, G:101.46, R:81.61"
22,cluster_10,cluster_11,cluster_14,cluster_17,522,548,1130,906,3106,"B:132.11, G:101.46, R:81.61","B:93.09, G:117.47, R:138.99","B:112.12, G:124.09, R:114.37","B:136.54, G:128.77, R:117.46"
23,cluster_4,cluster_6,cluster_8,cluster_13,746,1387,740,233,3106,"B:43.43, G:54.12, R:71.58","B:51.83, G:77.03, R:94.55","B:167.59, G:178.52, R:181.08","B:130.83, G:148.75, R:216.63"
24,cluster_2,cluster_5,cluster_6,cluster_10,753,445,1387,522,3107,"B:120.39, G:139.30, R:120.06","B:141.83, G:147.11, R:151.05","B:51.83, G:77.03, R:94.55","B:132.11, G:101.46, R:81.61"
25,cluster_9,cluster_14,cluster_18,cluster_19,497,1130,282,1197,3106,"B:82.92, G:81.66, R:124.65","B:112.12, G:124.09, R:114.37","B:71.24, G:114.86, R:186.20","B:55.08, G:80.23, R:96.73"
26,cluster_7,cluster_10,cluster_17,cluster_20,816,522,906,862,3106,"B:72.25, G:77.27, R:83.17","B:132.11, G:101.46, R:81.61","B:136.54, G:128.77, R:117.46","B:102.95, G:140.32, R:155.08"
27,cluster_0,cluster_5,cluster_14,cluster_16,782,445,1130,750,3107,"B:99.35, G:133.11, R:149.24","B:141.83, G:147.11, R:151.05","B:112.12, G:124.09, R:114.37","B:73.68, G:92.94, R:106.23"
28,cluster_7,cluster_10,cluster_17,cluster_20,816,522,906,862,3106,"B:72.25, G:77.27, R:83.17","B:132.11, G:101.46, R:81.61","B:136.54, G:128.77, R:117.46","B:102.95, G:140.32, R:155.08"
29,cluster_0,cluster_5,cluster_14,cluster_16,782,445,1130,750,3107,"B:99.35, G:133.11, R:149.24","B:141.83, G:147.11, R:151.05","B:112.12, G:124.09, R:114.37","B:73.68, G:92.94, R:106.23"
30,cluster_7,cluster_10,cluster_17,cluster_20,816,522,906,862,3106,"B:72.25, G:77.27, R:83.17","B:132.11, G:101.46, R:81.61","B:136.54, G:128.77, R:117.46","B:102.95, G:140.32, R:155.08"
