filename,page
2936.jpg,https://artsandculture.google.com/asset/the-lovers-marc-chagall/jQEveVgIzd6-Og
10356.jpg,https://artsandculture.google.com/asset/a-spiritualistic-s%C3%A9ance-kunnas-v%C3%A4in%C3%B6/BAG6lhZPN6IXzQ
7655.jpg,https://artsandculture.google.com/asset/edmund-rubbra-juliet-kathleen-pannett/eAG-31hnr2osVg
15849.jpg,https://artsandculture.google.com/asset/portrait-of-an-unidentified-woman-unidentified-artist/KwEdf2NN18VLjA
14497.jpg,https://artsandculture.google.com/asset/a-woman-with-a-dog-giacomo-ceruti/7QGozoQynvNhxQ
8472.jpg,https://artsandculture.google.com/asset/visage-hatem-el-mekki/TgHEb_1iJn18eQ
2662.jpg,https://artsandculture.google.com/asset/guests-iskander-valiullovich-rafikov/JAHmORLJBtrAtA
14877.jpg,https://artsandculture.google.com/asset/cow-in-a-cabbage-field-rudolf-koller/tAGs1iVJ-Mohtw
15000.jpg,https://artsandculture.google.com/asset/gioconda-revisited-felipe-san-pedro/ZQHFPxLG0xQ66A
10455.jpg,https://artsandculture.google.com/asset/on-the-oise/MwEXIShy9zPksg
15381.jpg,https://artsandculture.google.com/asset/portrait-of-a-lady/sAF6y4C3kkOT0A
12098.jpg,https://artsandculture.google.com/asset/mother-and-child-jamini-roy/_QFHH4EfSKw24A
1783.jpg,https://artsandculture.google.com/asset/the-judgement-of-tengu-manami-koike/xgHuvKZI8EsOaA
12595.jpg,https://artsandculture.google.com/asset/fountain-of-venus-fran%C3%A7ois-boucher-french-1703-1770/iQGQpusgSA5f4g
7650.jpg,https://artsandculture.google.com/asset/fire-aisha-cahn/qgF-rQlzXOJkBw
7538.jpg,https://artsandculture.google.com/asset/falkland-palace-and-the-howe-of-fife-alexander-keirincx/VAH8DCKrvlUHJA
13784.jpg,https://artsandculture.google.com/asset/alexander-hamilton-john-trumbull/YwG4HdRB_hMBIA
3705.jpg,https://artsandculture.google.com/asset/untitled-nighttime-street-scene-reinhold-rossig/YAFa_jN4a_udjw
5423.jpg,https://artsandculture.google.com/asset/patria-mea-juliette-mahieux-bartoli/eAGVTfkwdLdgJQ
13860.jpg,https://artsandculture.google.com/asset/the-greek-lovers-henry-peters-gray/BgFJZTv15m27RA
