filename,page,image_url,source,status,notes
2936.jpg,https://artsandculture.google.com/asset/the-lovers-marc-chagall/jQEveVgIzd6-Og,https://lh3.googleusercontent.com/ci/AL18g_T5_IQbxIdlC8UoEZaWGuaF8xhtaaTMu_XO4CqQyfQGO_A_WmFfd4CNYgWek-KDbaraiCbu1w,og:image,ok,
10356.jpg,https://artsandculture.google.com/asset/a-spiritualistic-s%C3%A9ance-kunnas-v%C3%A4in%C3%B6/BAG6lhZPN6IXzQ,https://lh3.googleusercontent.com/ci/AL18g_S-EbBYhAlXzrIHJga6Pdjk0UfeHg4wG-AAxr3BD31-AmeO630aRg3DlfsW26fXj40obuijmqg,og:image,ok,
7655.jpg,https://artsandculture.google.com/asset/edmund-rubbra-juliet-kathleen-pannett/eAG-31hnr2osVg,https://lh3.googleusercontent.com/ci/AL18g_R_ZewtQzabDXbX9RO7Ni46Ed5EKxy0j_nD3xBMY25-CkYJ976S7f-o7kFNn8jXQW837zDkTpg,og:image,ok,
15849.jpg,https://artsandculture.google.com/asset/portrait-of-an-unidentified-woman-unidentified-artist/KwEdf2NN18VLjA,https://lh3.googleusercontent.com/ci/AL18g_QFRgk9oxOMU7cCMw1HED6qnyNPXPn51uPmVED0HY9Vzcqk-QYjhvGNkO-LnmK4mi5peBK3iw,og:image,ok,
14497.jpg,https://artsandculture.google.com/asset/a-woman-with-a-dog-giacomo-ceruti/7QGozoQynvNhxQ,https://lh3.googleusercontent.com/ci/AL18g_SptcR7g1J-UyJpAB5imsP_edZ7YEVyBwZDCVG6f1buTXbnC16XAN2SA2jR6qFipsuEvDj6SX4,og:image,ok,
8472.jpg,https://artsandculture.google.com/asset/visage-hatem-el-mekki/TgHEb_1iJn18eQ,https://lh3.googleusercontent.com/ci/AL18g_Q8VMNcrQzYR90ys5TlUhgCoyeQikmUoLEYcLoiDnMi8BmpTCp1evXdHzrAcQkDP6CTWa3K7cwy,og:image,ok,
2662.jpg,https://artsandculture.google.com/asset/guests-iskander-valiullovich-rafikov/JAHmORLJBtrAtA,https://lh3.googleusercontent.com/ci/AL18g_TMxlH0XqZHG5a4x7drGFVyEWwkDEf2vJagsS9Qhte-OgjW-oem153Na0O_oQsXF9373nAS2g,og:image,ok,
14877.jpg,https://artsandculture.google.com/asset/cow-in-a-cabbage-field-rudolf-koller/tAGs1iVJ-Mohtw,https://lh3.googleusercontent.com/ci/AL18g_Sn7W9KCzkzcP2qyP3LQ_sJRhvNE5G7w3g7UOqz3jg__tqRUYm_tH5r4ccRXjFE4H92XFt2Hyo6,og:image,ok,
15000.jpg,https://artsandculture.google.com/asset/gioconda-revisited-felipe-san-pedro/ZQHFPxLG0xQ66A,https://lh3.googleusercontent.com/ci/AL18g_QMy7UpyAVBzXkg2VOqOpETEcYhixxgZbBJnkSHf2v9UGJMIS7Mh1IpC6I0XmFDpY7YPfu_pzw,og:image,ok,
10455.jpg,https://artsandculture.google.com/asset/on-the-oise/MwEXIShy9zPksg,https://lh3.googleusercontent.com/ci/AL18g_S8qMZc6tLTQWhGmJe4KuORbaStHE1Lfy_MHNTLyrQR_dSLpOrWEsDaoxWrV_bIR1j5wUmUnz4,og:image,ok,
15381.jpg,https://artsandculture.google.com/asset/portrait-of-a-lady/sAF6y4C3kkOT0A,https://lh3.googleusercontent.com/ci/AL18g_QcwhN3-pB9ugw3FsJiQ2GRsxmcHS2w3Os6HNj8KlGLHUISzMwfSCLa_eWujd7M9UjaMIga2h8,og:image,ok,
12098.jpg,https://artsandculture.google.com/asset/mother-and-child-jamini-roy/_QFHH4EfSKw24A,https://lh3.googleusercontent.com/ci/AL18g_SUxbWZgHUo6q3AolyYM2OQn6ODWeW2or6td76agf3QoQ7t7_6s9DKKXH6tgCyu6MS5UTh-,og:image,ok,
1783.jpg,https://artsandculture.google.com/asset/the-judgement-of-tengu-manami-koike/xgHuvKZI8EsOaA,https://lh3.googleusercontent.com/ci/AL18g_T85bpNDt4HPOjbCM8tiRVnhHIQ0lrPDWBZw9KgA9dH0qFm8nKbSlpAs_Mo8uyj0mgRq9APcQs,og:image,ok,
12595.jpg,https://artsandculture.google.com/asset/fountain-of-venus-fran%C3%A7ois-boucher-french-1703-1770/iQGQpusgSA5f4g,https://lh3.googleusercontent.com/ci/AL18g_QG3YAilPmU8V0OBRP9wugjtg7P1LN1k2XFl1Piq2aoC33LTwANqvEnf6pRCK8MXYvwnrjVS8s,og:image,ok,
7650.jpg,https://artsandculture.google.com/asset/fire-aisha-cahn/qgF-rQlzXOJkBw,https://lh3.googleusercontent.com/ci/AL18g_QZZSLOr8pxs9rehKL6gNBUy2RDWxi5Dc8n5BE44K802i2Lf_1kz9FocoFrJkB4YQ3vMHQvEQ,og:image,ok,
